LexToken(VOID,'void',2,1)
LexToken(ID,'main',2,6)
LexToken(LPAREN,'(',2,10)
LexToken(RPAREN,')',2,11)
LexToken(LBRACKET,'{',2,13)
LexToken(ID,'List',3,17)
LexToken(MENORQUE,'<',3,21)
LexToken(INT,'int',3,22)
LexToken(MAYORQUE,'>',3,25)
LexToken(ID,'numeros',3,27)
LexToken(IGUAL,'=',3,35)
LexToken(LCORCH,'[',3,37)
LexToken(NUMBER,10,3,38)
LexToken(COMA,',',3,40)
LexToken(NUMBER,5,3,42)
LexToken(COMA,',',3,43)
LexToken(NUMBER,27,3,45)
LexToken(COMA,',',3,47)
LexToken(NUMBER,3,3,49)
LexToken(COMA,',',3,50)
LexToken(NUMBER,15,3,52)
LexToken(RCORCH,']',3,54)
LexToken(SEMICOLON,';',3,55)
LexToken(INT,'int',5,60)
LexToken(ID,'maximo',5,64)
LexToken(IGUAL,'=',5,71)
LexToken(ID,'encontrarNumeroMaximo',5,73)
LexToken(LPAREN,'(',5,94)
LexToken(ID,'numeros',5,95)
LexToken(RPAREN,')',5,102)
LexToken(SEMICOLON,';',5,103)
LexToken(PRINT,'print',7,108)
LexToken(LPAREN,'(',7,113)
LexToken(CADENA,'"La lista de números es: $numeros"',7,114)
LexToken(RPAREN,')',7,148)
LexToken(SEMICOLON,';',7,149)
LexToken(PRINT,'print',8,153)
LexToken(LPAREN,'(',8,158)
LexToken(CADENA,'"El número más grande de la lista es: $maximo"',8,159)
LexToken(RPAREN,')',8,205)
LexToken(SEMICOLON,';',8,206)
LexToken(RBRACKET,'}',9,208)
LexToken(INT,'int',11,211)
LexToken(ID,'encontrarNumeroMaximo',11,215)
LexToken(LPAREN,'(',11,236)
LexToken(ID,'List',11,237)
LexToken(MENORQUE,'<',11,241)
LexToken(INT,'int',11,242)
LexToken(MAYORQUE,'>',11,245)
LexToken(ID,'lista',11,247)
LexToken(RPAREN,')',11,252)
LexToken(LBRACKET,'{',11,254)
LexToken(IF,'if',13,261)
LexToken(LPAREN,'(',13,264)
LexToken(ID,'lista',13,265)
LexToken(METODO,'.isEmpty) {',13,270)
LexToken(RETURN,'return',14,286)
LexToken(NUMBER,0,14,293)
LexToken(SEMICOLON,';',14,294)
LexToken(RBRACKET,'}',15,298)
LexToken(INT,'int',17,303)
LexToken(ID,'maxActual',17,307)
LexToken(IGUAL,'=',17,317)
LexToken(ID,'lista',17,319)
LexToken(LCORCH,'[',17,324)
LexToken(NUMBER,0,17,325)
LexToken(RCORCH,']',17,326)
LexToken(SEMICOLON,';',17,327)
LexToken(FOR,'for',19,332)
LexToken(LPAREN,'(',19,336)
LexToken(INT,'int',19,337)
LexToken(ID,'numero',19,341)
LexToken(ID,'in',19,348)
LexToken(ID,'lista',19,351)
LexToken(RPAREN,')',19,356)
LexToken(LBRACKET,'{',19,358)
LexToken(IF,'if',20,364)
LexToken(LPAREN,'(',20,367)
LexToken(ID,'numero',20,368)
LexToken(MAYORQUE,'>',20,375)
LexToken(ID,'maxActual',20,377)
LexToken(RPAREN,')',20,386)
LexToken(LBRACKET,'{',20,388)
LexToken(ID,'maxActual',21,396)
LexToken(IGUAL,'=',21,406)
LexToken(ID,'numero',21,408)
LexToken(SEMICOLON,';',21,414)
LexToken(RBRACKET,'}',22,420)
LexToken(RBRACKET,'}',23,424)
LexToken(RETURN,'return',25,429)
LexToken(ID,'maxActual',25,436)
LexToken(SEMICOLON,';',25,445)
LexToken(RBRACKET,'}',26,447)

Process finished with exit code 0
