LexToken(COMENTARIO,'// Algoritmo de prueba analizador léxico',2,1)
LexToken(ID,'class',4,43)
LexToken(ID,'Producto',4,49)
LexToken(LBRACKET,'{',4,58)
LexToken(ID,'String',5,62)
LexToken(ID,'nombre',5,69)
LexToken(SEMICOLON,';',5,75)
LexToken(INT,'int',6,79)
LexToken(ID,'cantidad',6,83)
LexToken(SEMICOLON,';',6,91)
LexToken(FLOAT,'float',7,95)
LexToken(ID,'precio',7,101)
LexToken(SEMICOLON,';',7,107)
LexToken(BOOL,'bool',8,111)
LexToken(ID,'disponible',8,116)
LexToken(SEMICOLON,';',8,126)
LexToken(ID,'Producto',10,131)
LexToken(LPAREN,'(',10,139)
LexToken(ID,'this',10,140)
LexToken(METODO,'.nombre, this.cantidad, this.precio, this.disponible);',10,144)
LexToken(VOID,'void',12,202)
LexToken(ID,'mostrarInfo',12,207)
LexToken(LPAREN,'(',12,218)
LexToken(RPAREN,')',12,219)
LexToken(LBRACKET,'{',12,221)
LexToken(PRINT,'print',13,227)
LexToken(LPAREN,'(',13,232)
LexToken(CADENA,"'Producto: $nombre'",13,233)
LexToken(RPAREN,')',13,252)
LexToken(SEMICOLON,';',13,253)
LexToken(PRINT,'print',14,259)
LexToken(LPAREN,'(',14,264)
LexToken(CADENA,"'Cantidad: $cantidad'",14,265)
LexToken(RPAREN,')',14,286)
LexToken(SEMICOLON,';',14,287)
LexToken(PRINT,'print',15,293)
LexToken(LPAREN,'(',15,298)
LexToken(CADENA,"'Precio: ${precio.toString()}'",15,299)
LexToken(RPAREN,')',15,329)
LexToken(SEMICOLON,';',15,330)
LexToken(PRINT,'print',16,336)
LexToken(LPAREN,'(',16,341)
LexToken(ID,'disponible',16,342)
LexToken(NULLABLE,'?',16,353)
LexToken(CADENA,"'Disponible'",16,355)
LexToken(COLON,':',16,368)
LexToken(CADENA,"'No disponible'",16,370)
LexToken(RPAREN,')',16,385)
LexToken(SEMICOLON,';',16,386)
LexToken(RBRACKET,'}',17,390)
LexToken(RBRACKET,'}',18,392)
LexToken(VOID,'void',20,395)
LexToken(ID,'main',20,400)
LexToken(LPAREN,'(',20,404)
LexToken(RPAREN,')',20,405)
LexToken(LBRACKET,'{',20,407)
LexToken(VAR,'var',21,411)
LexToken(ID,'productos',21,415)
LexToken(IGUAL,'=',21,425)
LexToken(LCORCH,'[',21,427)
LexToken(ID,'Producto',22,433)
LexToken(LPAREN,'(',22,441)
LexToken(CADENA,"'Teclado'",22,442)
Illegal character ','
LexToken(NUMBER,10,22,453)
Illegal character ','
LexToken(FLOAT_NUMBER,29.99,22,457)
Illegal character ','
LexToken(TRUE,'true',22,464)
LexToken(RPAREN,')',22,468)
Illegal character ','
LexToken(ID,'Producto',23,475)
LexToken(LPAREN,'(',23,483)
LexToken(CADENA,"'Mouse'",23,484)
Illegal character ','
LexToken(NUMBER,0,23,493)
Illegal character ','
LexToken(FLOAT_NUMBER,15.5,23,496)
Illegal character ','
LexToken(FASLSE,'false',23,502)
LexToken(RPAREN,')',23,507)
Illegal character ','
LexToken(ID,'Producto',24,514)
LexToken(LPAREN,'(',24,522)
LexToken(CADENA,"'Monitor'",24,523)
Illegal character ','
LexToken(NUMBER,5,24,534)
Illegal character ','
LexToken(FLOAT_NUMBER,150.0,24,537)
Illegal character ','
LexToken(TRUE,'true',24,544)
LexToken(RPAREN,')',24,548)
Illegal character ','
LexToken(RCORCH,']',25,553)
LexToken(SEMICOLON,';',25,554)
LexToken(FOR,'for',27,559)
LexToken(LPAREN,'(',27,563)
LexToken(VAR,'var',27,564)
LexToken(ID,'p',27,568)
LexToken(ID,'in',27,570)
LexToken(ID,'productos',27,573)
LexToken(RPAREN,')',27,582)
LexToken(LBRACKET,'{',27,584)
LexToken(IF,'if',28,590)
LexToken(LPAREN,'(',28,593)
LexToken(ID,'p',28,594)
LexToken(METODO,'.disponible && p.cantidad > 0) {',28,595)
LexToken(ID,'p',29,634)
LexToken(METODO,'.mostrarInfo();',29,635)
LexToken(IF,'if',30,657)
LexToken(LPAREN,'(',30,660)
LexToken(ID,'p',30,661)
LexToken(METODO,'.precio > 100) {',30,662)
LexToken(PRINT,'print',31,687)
LexToken(LPAREN,'(',31,692)
LexToken(CADENA,"'Producto premium.'",31,693)
LexToken(RPAREN,')',31,712)
LexToken(SEMICOLON,';',31,713)
LexToken(RBRACKET,'}',32,721)
LexToken(ELSE,'else',32,723)
LexToken(LBRACKET,'{',32,728)
LexToken(PRINT,'print',33,738)
LexToken(LPAREN,'(',33,743)
LexToken(CADENA,"'Producto estándar.'",33,744)
LexToken(RPAREN,')',33,764)
LexToken(SEMICOLON,';',33,765)
LexToken(RBRACKET,'}',34,773)
LexToken(RBRACKET,'}',35,779)
LexToken(ELSE,'else',35,781)
LexToken(LBRACKET,'{',35,786)
LexToken(PRINT,'print',36,794)
LexToken(LPAREN,'(',36,799)
LexToken(CADENA,"'Producto fuera de stock.'",36,800)
LexToken(RPAREN,')',36,826)
LexToken(SEMICOLON,';',36,827)
LexToken(RBRACKET,'}',37,833)
LexToken(RBRACKET,'}',38,837)
LexToken(VAR,'var',42,874)
LexToken(ID,'resultado',42,878)
LexToken(IGUAL,'=',42,888)
LexToken(LPAREN,'(',42,890)
LexToken(NUMBER,5,42,891)
LexToken(PLUS,'+',42,893)
LexToken(NUMBER,3,42,895)
LexToken(RPAREN,')',42,896)
LexToken(TIMES,'*',42,898)
LexToken(NUMBER,2,42,900)
LexToken(MINUS,'-',42,902)
LexToken(NUMBER,4,42,904)
LexToken(DIVIDE,'/',42,906)
LexToken(NUMBER,2,42,908)
LexToken(SEMICOLON,';',42,909)
LexToken(VAR,'var',43,913)
LexToken(ID,'bandera',43,917)
LexToken(IGUAL,'=',43,925)
LexToken(TRUE,'true',43,927)
LexToken(OR,'||',43,932)
LexToken(FASLSE,'false',43,935)
LexToken(AND,'&&',43,941)
LexToken(NOT,'!',43,944)
LexToken(FASLSE,'false',43,945)
LexToken(SEMICOLON,';',43,950)
LexToken(PRINT,'print',45,955)
LexToken(LPAREN,'(',45,960)
LexToken(CADENA,"'Resultado: $resultado'",45,961)
LexToken(RPAREN,')',45,984)
LexToken(SEMICOLON,';',45,985)
LexToken(PRINT,'print',46,989)
LexToken(LPAREN,'(',46,994)
LexToken(CADENA,"'Bandera: $bandera'",46,995)
LexToken(RPAREN,')',46,1014)
LexToken(SEMICOLON,';',46,1015)
LexToken(RBRACKET,'}',47,1017)
